"Feature","ORF","Age","ProtExp","TranExp","ProtTranRatio","AvgLife","Slope","GroupRank"
"VMA2","YBR127C",7.8,4455.759178,437.640661,10.1813190022579,5.375,-0.995047351983789,1
"VMA2","YBR127C",10.7,4376.982084,432.6595712,10.116457315067,5.375,-0.995047351983789,1
"VMA2","YBR127C",14,4263.4108,426.2043186,10.0032088224833,5.375,-0.995047351983789,1
"VMA2","YBR127C",17.8,4086.741477,419.0621317,9.75211351219307,5.375,-0.995047351983789,1
"VMA2","YBR127C",22,3782.511154,406.3896921,9.3075962002236,5.375,-0.995047351983789,1
"VMA2","YBR127C",26.8,3613.965212,402.7527855,8.9731600676912,5.375,-0.995047351983789,1
"VMA2","YBR127C",32.2,3437.034034,402.196418,8.54566047875643,5.375,-0.995047351983789,1
"VMA2","YBR127C",38.4,3269.060411,407.4496946,8.02322459514736,5.375,-0.995047351983789,1
"VMA2","YBR127C",45.4,3075.366079,403.5197891,7.62135132420449,5.375,-0.995047351983789,1
"VMA2","YBR127C",53.3,2863.395348,405.6129658,7.05942755639593,5.375,-0.995047351983789,1
"VMA2","YBR127C",62.2,2715.161983,413.7530046,6.56227738001543,5.375,-0.995047351983789,1
"VMA2","YBR127C",72.3,2691.96585,433.000802,6.2169996858343,5.375,-0.995047351983789,1
"DDP1","YOR163W",7.8,37.70726801,57.04886943,0.660964334381201,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",10.7,38.27082668,57.34677019,0.667358014290988,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",14,38.46946643,58.34835664,0.659306767924081,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",17.8,38.41596135,59.70874875,0.643389154089417,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",22,38.30534693,63.53127256,0.602936874809548,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",26.8,33.5412437,64.30348639,0.521608478529029,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",32.2,29.11310102,64.11031175,0.454109490740388,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",38.4,23.95309391,61.77197195,0.387766379376529,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",45.4,20.13500408,59.20082796,0.340113555398322,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",53.3,15.50031389,60.22285075,0.257382599743503,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",62.2,10.61329055,64.15245058,0.165438583468685,27.1142857142857,-0.994296601007714,1
"DDP1","YOR163W",72.3,5.224858961,72.86823247,0.071702836529637,27.1142857142857,-0.994296601007714,1
"GLR1","YPL091W",7.8,210.5963763,71.60540331,2.94106822341701,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",10.7,208.5037123,70.83410723,2.94354966065971,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",14,205.8063705,70.63615491,2.91361231032784,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",17.8,202.183637,70.85328675,2.85355339567222,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",22,197.72855,73.02801342,2.70757125574292,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",26.8,191.2627777,74.10192877,2.58107691492954,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",32.2,181.2060627,74.18763787,2.44253716525562,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",38.4,168.8519849,69.85265694,2.41725930403815,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",45.4,154.31086,68.37130101,2.25695368846982,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",53.3,142.9655673,70.58578865,2.02541573926298,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",62.2,133.2222563,75.82768211,1.75690793379046,22.8444444444444,-0.992978044209016,1
"GLR1","YPL091W",72.3,125.7715331,85.26011816,1.47515081862748,22.8444444444444,-0.992978044209016,1
"PHO88","YBR106W",7.8,595.2722787,741.0662047,0.803264640763074,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",10.7,593.5382387,750.9388797,0.790394870667928,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",14,588.392068,763.1150944,0.771039745272794,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",17.8,578.3924963,780.0295917,0.741500710299271,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",22,563.5936009,802.1243361,0.702626233284783,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",26.8,532.6140888,836.095951,0.637025078476908,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",32.2,506.3685273,860.8341595,0.588230057685112,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",38.4,485.8853623,840.0701977,0.578386620106616,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",45.4,492.9746054,888.4997264,0.55483934406758,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",53.3,459.6465731,909.2556673,0.505519613053282,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",62.2,407.1193962,903.462545,0.450621222155922,29.8222222222222,-0.988731231039346,1
"PHO88","YBR106W",72.3,326.1183191,844.266733,0.386274036809644,29.8222222222222,-0.988731231039346,1
"BNA4","YBL098W",7.8,33.56409966,32.49595957,1.03286993534378,32.6,-0.987776443146593,1
"BNA4","YBL098W",10.7,34.02084498,33.076854,1.02853932178677,32.6,-0.987776443146593,1
"BNA4","YBL098W",14,34.11887363,33.96106518,1.00464674618312,32.6,-0.987776443146593,1
"BNA4","YBL098W",17.8,33.86398045,34.94102872,0.969175255868082,32.6,-0.987776443146593,1
"BNA4","YBL098W",22,32.89244692,37.01669316,0.88858415250186,32.6,-0.987776443146593,1
"BNA4","YBL098W",26.8,29.47554651,37.12525132,0.793948740062024,32.6,-0.987776443146593,1
"BNA4","YBL098W",32.2,27.78825919,36.94857271,0.752079367398114,32.6,-0.987776443146593,1
"BNA4","YBL098W",38.4,26.3706811,36.53979848,0.721697496893256,32.6,-0.987776443146593,1
"BNA4","YBL098W",45.4,26.56164613,37.67683173,0.704986192054212,32.6,-0.987776443146593,1
"BNA4","YBL098W",53.3,24.0422569,38.13788623,0.630403498374483,32.6,-0.987776443146593,1
"BNA4","YBL098W",62.2,20.29322652,37.93488646,0.534948919417433,32.6,-0.987776443146593,1
"BNA4","YBL098W",72.3,14.67887791,36.11888644,0.406404497945535,32.6,-0.987776443146593,1
"CMK2","YOL016C",7.8,37.57331968,65.50322333,0.573610240380212,21.4,-0.981022884319148,1
"CMK2","YOL016C",10.7,39.21353654,68.53377147,0.572178295443223,21.4,-0.981022884319148,1
"CMK2","YOL016C",14,41.23651003,73.50581068,0.560996602153249,21.4,-0.981022884319148,1
"CMK2","YOL016C",17.8,43.91615278,81.43062249,0.539307590156186,21.4,-0.981022884319148,1
"CMK2","YOL016C",22,47.09173776,93.21687523,0.505184685109939,21.4,-0.981022884319148,1
"CMK2","YOL016C",26.8,50.69828436,110.1386939,0.460313106727335,21.4,-0.981022884319148,1
"CMK2","YOL016C",32.2,55.22053492,129.6084822,0.426056489379983,21.4,-0.981022884319148,1
"CMK2","YOL016C",38.4,59.21134981,155.4752508,0.380840998842756,21.4,-0.981022884319148,1
"CMK2","YOL016C",45.4,60.73320846,160.4220597,0.378583896588631,21.4,-0.981022884319148,1
"CMK2","YOL016C",53.3,61.02878601,167.6926778,0.363932324360557,21.4,-0.981022884319148,1
"CMK2","YOL016C",62.2,57.64270311,174.5732663,0.330192041036469,21.4,-0.981022884319148,1
"CMK2","YOL016C",72.3,48.81830595,186.3745637,0.261936527071264,21.4,-0.981022884319148,1
